Method,K,Precision,Recall,F1,Jaccard,Coverage,Account_Coverage,Overlap,Energy,Selected_Regions,True_Positive_Regions,Candidate_IDs,Pattern_IDs,Typologies
Risk Greedy,3,1.0,0.25,0.4,0.42857142857142855,0.5294117647058824,0.49572649572649574,0.0,-37.20953021815282,3,3,"0,1,2","48,239,141","GATHER-SCATTER,STACK,STACK"
Growth Greedy,3,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.14285714285714285,0.20588235294117646,0.19230769230769232,3.0,-30.085768949463713,3,1,"1,21,22","239,239,239","STACK,STACK,STACK"
Risk+Growth Greedy,3,1.0,0.25,0.4,0.2857142857142857,0.38235294117647056,0.3162393162393162,1.0,-34.844188953990766,3,3,"0,1,3","48,239,48","GATHER-SCATTER,STACK,GATHER-SCATTER"
Overlap-Aware Greedy,3,1.0,0.25,0.4,0.42857142857142855,0.5294117647058824,0.49572649572649574,0.0,-37.20953021815282,3,3,"0,1,2","48,239,141","GATHER-SCATTER,STACK,STACK"
Static QUBO,3,1.0,0.25,0.4,0.42857142857142855,0.4411764705882353,0.4358974358974359,0.0,-37.52307967212096,3,3,"0,1,5","48,239,147","GATHER-SCATTER,STACK,GATHER-SCATTER"
Risk Greedy,5,1.0,0.4166666666666667,0.5882352941176471,0.5714285714285714,0.6470588235294118,0.6153846153846154,1.0,-99.55220916320715,5,5,"0,1,2,3,4","48,239,141,48,147","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER"
Growth Greedy,5,0.6,0.25,0.35294117647058826,0.2857142857142857,0.38235294117647056,0.3162393162393162,4.0,-92.38772357823146,5,3,"0,1,3,21,22","48,239,48,239,239","GATHER-SCATTER,STACK,GATHER-SCATTER,STACK,STACK"
Risk+Growth Greedy,5,1.0,0.4166666666666667,0.5882352941176471,0.5714285714285714,0.6470588235294118,0.6153846153846154,1.0,-99.55220916320715,5,5,"0,1,2,3,4","48,239,141,48,147","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER"
Overlap-Aware Greedy,5,1.0,0.4166666666666667,0.5882352941176471,0.5714285714285714,0.6470588235294118,0.6153846153846154,1.0,-99.55220916320715,5,5,"0,1,2,3,4","48,239,141,48,147","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER"
Static QUBO,5,1.0,0.4166666666666667,0.5882352941176471,0.7142857142857143,0.5,0.6282051282051282,0.0,-102.0722082031651,5,5,"0,1,5,8,9","48,239,147,63,303","GATHER-SCATTER,STACK,GATHER-SCATTER,SCATTER-GATHER,GATHER-SCATTER"
Risk Greedy,7,1.0,0.5833333333333334,0.7368421052631579,0.5714285714285714,0.8235294117647058,0.6153846153846154,4.0,-190.57049932521394,7,7,"0,1,2,3,4,5,6","48,239,141,48,147,147,147","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER"
Growth Greedy,7,0.5714285714285714,0.3333333333333333,0.4210526315789474,0.42857142857142855,0.47058823529411764,0.4358974358974359,6.0,-184.38617296011805,7,4,"0,1,3,4,15,21,22","48,239,48,147,48,239,239","GATHER-SCATTER,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,STACK,STACK"
Risk+Growth Greedy,7,0.8571428571428571,0.5,0.631578947368421,0.5714285714285714,0.7352941176470589,0.6153846153846154,3.0,-191.85095928942542,7,6,"0,1,2,3,4,5,21","48,239,141,48,147,147,239","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,STACK"
Overlap-Aware Greedy,7,1.0,0.5833333333333334,0.7368421052631579,0.5714285714285714,0.8235294117647058,0.6153846153846154,4.0,-190.57049932521394,7,7,"0,1,2,3,4,5,6","48,239,141,48,147,147,147","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER"
Static QUBO,7,1.0,0.5833333333333334,0.7368421052631579,1.0,0.7352941176470589,1.0,0.0,-198.39880923212758,7,7,"0,1,2,5,7,8,9","48,239,141,147,60,63,303","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,STACK,SCATTER-GATHER,GATHER-SCATTER"
Risk Greedy,10,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9411764705882353,1.0,4.0,-395.2488669536623,10,10,"0,1,2,3,4,5,6,7,8,9","48,239,141,48,147,147,147,60,63,303","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,STACK,SCATTER-GATHER,GATHER-SCATTER"
Growth Greedy,10,0.7,0.5833333333333334,0.6363636363636365,0.5714285714285714,0.8235294117647058,0.6153846153846154,9.0,-383.6018250536833,10,7,"0,1,2,3,4,5,6,15,21,22","48,239,141,48,147,147,147,48,239,239","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,STACK,STACK"
Risk+Growth Greedy,10,0.7,0.5833333333333334,0.6363636363636365,0.5714285714285714,0.8235294117647058,0.6153846153846154,9.0,-383.6018250536833,10,7,"0,1,2,3,4,5,6,15,21,22","48,239,141,48,147,147,147,48,239,239","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,STACK,STACK"
Overlap-Aware Greedy,10,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9411764705882353,1.0,4.0,-395.2488669536623,10,10,"0,1,2,3,4,5,6,7,8,9","48,239,141,48,147,147,147,60,63,303","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,GATHER-SCATTER,STACK,SCATTER-GATHER,GATHER-SCATTER"
Static QUBO,10,0.7,0.5833333333333334,0.6363636363636365,0.7,0.7352941176470589,0.8181818181818182,0.0,-402.552380660699,10,7,"0,1,2,5,7,8,9,12,26,28","48,239,141,147,60,63,303,360,17,333","GATHER-SCATTER,STACK,STACK,GATHER-SCATTER,STACK,SCATTER-GATHER,GATHER-SCATTER,SCATTER-GATHER,SCATTER-GATHER,SCATTER-GATHER"
